id,target,classificação
1157,2,Planeta Oceânico
3935,0,Planeta Deserto
11712,4,Planeta Gelado
3667,0,Planeta Deserto
2650,0,Planeta Deserto
4639,4,Planeta Gelado
9434,3,Planeta Florestal
5272,0,Planeta Deserto
2154,1,Planeta Vulcânico
1155,0,Planeta Deserto
12089,1,Planeta Vulcânico
7895,2,Planeta Oceânico
435,0,Planeta Deserto
3852,1,Planeta Vulcânico
801,2,Planeta Oceânico
14795,0,Planeta Deserto
12336,0,Planeta Deserto
5783,4,Planeta Gelado
1923,4,Planeta Gelado
604,4,Planeta Gelado
4146,2,Planeta Oceânico
4735,0,Planeta Deserto
946,0,Planeta Deserto
8296,4,Planeta Gelado
9902,2,Planeta Oceânico
8975,0,Planeta Deserto
3347,0,Planeta Deserto
4150,1,Planeta Vulcânico
14498,0,Planeta Deserto
6677,3,Planeta Florestal
14212,4,Planeta Gelado
11179,2,Planeta Oceânico
11030,0,Planeta Deserto
7514,0,Planeta Deserto
6854,0,Planeta Deserto
13699,0,Planeta Deserto
1201,0,Planeta Deserto
5171,0,Planeta Deserto
9708,0,Planeta Deserto
8459,0,Planeta Deserto
14553,0,Planeta Deserto
11004,0,Planeta Deserto
12269,0,Planeta Deserto
4023,3,Planeta Florestal
13381,1,Planeta Vulcânico
9700,0,Planeta Deserto
1305,2,Planeta Oceânico
6083,1,Planeta Vulcânico
7440,0,Planeta Deserto
2971,0,Planeta Deserto
5700,1,Planeta Vulcânico
13538,0,Planeta Deserto
13748,4,Planeta Gelado
9904,2,Planeta Oceânico
6383,1,Planeta Vulcânico
13218,2,Planeta Oceânico
11075,0,Planeta Deserto
1320,0,Planeta Deserto
9093,0,Planeta Deserto
539,2,Planeta Oceânico
13753,4,Planeta Gelado
9224,0,Planeta Deserto
10727,0,Planeta Deserto
3205,2,Planeta Oceânico
3986,0,Planeta Deserto
9795,0,Planeta Deserto
10137,0,Planeta Deserto
7247,1,Planeta Vulcânico
6162,1,Planeta Vulcânico
11918,2,Planeta Oceânico
4635,2,Planeta Oceânico
13253,4,Planeta Gelado
8521,2,Planeta Oceânico
13545,0,Planeta Deserto
2790,3,Planeta Florestal
10540,2,Planeta Oceânico
12648,0,Planeta Deserto
5621,0,Planeta Deserto
7660,0,Planeta Deserto
2157,0,Planeta Deserto
9877,0,Planeta Deserto
9168,0,Planeta Deserto
4514,0,Planeta Deserto
6602,0,Planeta Deserto
3234,2,Planeta Oceânico
12320,4,Planeta Gelado
7536,0,Planeta Deserto
8882,0,Planeta Deserto
82,1,Planeta Vulcânico
1792,0,Planeta Deserto
10042,0,Planeta Deserto
3912,0,Planeta Deserto
8343,0,Planeta Deserto
7733,4,Planeta Gelado
4190,0,Planeta Deserto
9669,0,Planeta Deserto
4252,0,Planeta Deserto
13389,1,Planeta Vulcânico
8046,1,Planeta Vulcânico
4527,2,Planeta Oceânico
4906,1,Planeta Vulcânico
10770,3,Planeta Florestal
2257,4,Planeta Gelado
7246,0,Planeta Deserto
5387,1,Planeta Vulcânico
9049,0,Planeta Deserto
5819,1,Planeta Vulcânico
8561,0,Planeta Deserto
11138,0,Planeta Deserto
9419,0,Planeta Deserto
13247,1,Planeta Vulcânico
13156,0,Planeta Deserto
2561,0,Planeta Deserto
3596,0,Planeta Deserto
12041,0,Planeta Deserto
518,0,Planeta Deserto
272,4,Planeta Gelado
9467,2,Planeta Oceânico
13200,1,Planeta Vulcânico
10332,0,Planeta Deserto
6131,0,Planeta Deserto
13884,0,Planeta Deserto
13582,0,Planeta Deserto
141,1,Planeta Vulcânico
436,2,Planeta Oceânico
1124,0,Planeta Deserto
103,1,Planeta Vulcânico
6028,0,Planeta Deserto
10379,0,Planeta Deserto
10522,0,Planeta Deserto
11932,0,Planeta Deserto
3103,0,Planeta Deserto
10791,0,Planeta Deserto
1357,1,Planeta Vulcânico
13797,0,Planeta Deserto
13335,3,Planeta Florestal
10631,0,Planeta Deserto
9483,4,Planeta Gelado
10115,1,Planeta Vulcânico
10864,2,Planeta Oceânico
7763,2,Planeta Oceânico
9372,1,Planeta Vulcânico
3429,2,Planeta Oceânico
30,0,Planeta Deserto
1421,4,Planeta Gelado
4346,2,Planeta Oceânico
12759,1,Planeta Vulcânico
1614,1,Planeta Vulcânico
14974,4,Planeta Gelado
3525,1,Planeta Vulcânico
1740,1,Planeta Vulcânico
3603,2,Planeta Oceânico
13066,2,Planeta Oceânico
4075,0,Planeta Deserto
129,0,Planeta Deserto
12574,0,Planeta Deserto
4345,0,Planeta Deserto
9825,4,Planeta Gelado
9927,0,Planeta Deserto
1508,0,Planeta Deserto
14741,0,Planeta Deserto
2369,2,Planeta Oceânico
6389,0,Planeta Deserto
13657,0,Planeta Deserto
11485,0,Planeta Deserto
4127,2,Planeta Oceânico
4068,0,Planeta Deserto
10541,2,Planeta Oceânico
2361,0,Planeta Deserto
5735,0,Planeta Deserto
14737,0,Planeta Deserto
14432,1,Planeta Vulcânico
10346,3,Planeta Florestal
9817,0,Planeta Deserto
4909,0,Planeta Deserto
3929,4,Planeta Gelado
12056,0,Planeta Deserto
13177,0,Planeta Deserto
7575,4,Planeta Gelado
10981,0,Planeta Deserto
9216,0,Planeta Deserto
3503,1,Planeta Vulcânico
1766,4,Planeta Gelado
14496,0,Planeta Deserto
8012,1,Planeta Vulcânico
11430,0,Planeta Deserto
1284,2,Planeta Oceânico
9223,0,Planeta Deserto
14684,0,Planeta Deserto
5215,3,Planeta Florestal
12549,0,Planeta Deserto
8085,1,Planeta Vulcânico
8773,2,Planeta Oceânico
7101,0,Planeta Deserto
1770,1,Planeta Vulcânico
674,0,Planeta Deserto
3713,0,Planeta Deserto
9917,0,Planeta Deserto
2667,4,Planeta Gelado
10297,4,Planeta Gelado
7663,3,Planeta Florestal
1707,0,Planeta Deserto
5615,0,Planeta Deserto
8988,1,Planeta Vulcânico
6043,0,Planeta Deserto
6251,0,Planeta Deserto
5060,0,Planeta Deserto
5944,0,Planeta Deserto
9670,0,Planeta Deserto
9911,0,Planeta Deserto
2944,0,Planeta Deserto
7681,0,Planeta Deserto
6298,0,Planeta Deserto
2731,3,Planeta Florestal
6058,1,Planeta Vulcânico
75,4,Planeta Gelado
9762,0,Planeta Deserto
11131,3,Planeta Florestal
7938,1,Planeta Vulcânico
1292,4,Planeta Gelado
1859,3,Planeta Florestal
221,0,Planeta Deserto
2239,0,Planeta Deserto
7913,2,Planeta Oceânico
11184,1,Planeta Vulcânico
10601,0,Planeta Deserto
14012,4,Planeta Gelado
7790,3,Planeta Florestal
8482,0,Planeta Deserto
8311,0,Planeta Deserto
14234,0,Planeta Deserto
14587,0,Planeta Deserto
10852,4,Planeta Gelado
407,4,Planeta Gelado
9932,0,Planeta Deserto
8155,0,Planeta Deserto
4374,0,Planeta Deserto
11025,0,Planeta Deserto
2713,3,Planeta Florestal
12817,0,Planeta Deserto
4264,2,Planeta Oceânico
6382,0,Planeta Deserto
14900,0,Planeta Deserto
7103,0,Planeta Deserto
9864,0,Planeta Deserto
10798,0,Planeta Deserto
13973,0,Planeta Deserto
13145,0,Planeta Deserto
564,0,Planeta Deserto
5141,0,Planeta Deserto
3286,1,Planeta Vulcânico
13616,0,Planeta Deserto
11172,0,Planeta Deserto
4251,0,Planeta Deserto
8935,0,Planeta Deserto
14085,4,Planeta Gelado
7456,0,Planeta Deserto
11062,0,Planeta Deserto
7316,2,Planeta Oceânico
12114,0,Planeta Deserto
12724,3,Planeta Florestal
14785,0,Planeta Deserto
10931,0,Planeta Deserto
12733,0,Planeta Deserto
2339,0,Planeta Deserto
2696,0,Planeta Deserto
6868,0,Planeta Deserto
3920,0,Planeta Deserto
7429,0,Planeta Deserto
5049,0,Planeta Deserto
3390,0,Planeta Deserto
12812,0,Planeta Deserto
12982,1,Planeta Vulcânico
6342,0,Planeta Deserto
1967,0,Planeta Deserto
6764,0,Planeta Deserto
60,2,Planeta Oceânico
9562,0,Planeta Deserto
12246,4,Planeta Gelado
12904,0,Planeta Deserto
13681,0,Planeta Deserto
13436,0,Planeta Deserto
8650,0,Planeta Deserto
11557,0,Planeta Deserto
7858,0,Planeta Deserto
4471,1,Planeta Vulcânico
8325,0,Planeta Deserto
5786,2,Planeta Oceânico
6250,4,Planeta Gelado
10356,2,Planeta Oceânico
1174,0,Planeta Deserto
4409,3,Planeta Florestal
5492,4,Planeta Gelado
4283,0,Planeta Deserto
7092,4,Planeta Gelado
12087,0,Planeta Deserto
6981,1,Planeta Vulcânico
14519,0,Planeta Deserto
11213,2,Planeta Oceânico
14650,2,Planeta Oceânico
7172,0,Planeta Deserto
2326,3,Planeta Florestal
6705,0,Planeta Deserto
6576,0,Planeta Deserto
8348,0,Planeta Deserto
6104,0,Planeta Deserto
849,0,Planeta Deserto
5996,2,Planeta Oceânico
10098,4,Planeta Gelado
10714,2,Planeta Oceânico
5590,4,Planeta Gelado
7566,1,Planeta Vulcânico
6671,4,Planeta Gelado
2359,2,Planeta Oceânico
6323,2,Planeta Oceânico
8352,2,Planeta Oceânico
1889,0,Planeta Deserto
12364,0,Planeta Deserto
13042,0,Planeta Deserto
4189,1,Planeta Vulcânico
8039,0,Planeta Deserto
12950,0,Planeta Deserto
2645,0,Planeta Deserto
3590,0,Planeta Deserto
7223,0,Planeta Deserto
13853,2,Planeta Oceânico
10330,4,Planeta Gelado
9324,0,Planeta Deserto
10528,1,Planeta Vulcânico
7750,0,Planeta Deserto
10317,3,Planeta Florestal
14191,0,Planeta Deserto
9560,0,Planeta Deserto
12519,0,Planeta Deserto
8595,0,Planeta Deserto
9053,0,Planeta Deserto
13611,2,Planeta Oceânico
4438,0,Planeta Deserto
203,0,Planeta Deserto
13096,0,Planeta Deserto
14265,0,Planeta Deserto
2774,2,Planeta Oceânico
13958,2,Planeta Oceânico
4821,1,Planeta Vulcânico
13469,0,Planeta Deserto
9884,0,Planeta Deserto
10519,0,Planeta Deserto
4805,1,Planeta Vulcânico
5676,0,Planeta Deserto
13106,1,Planeta Vulcânico
5350,2,Planeta Oceânico
3588,2,Planeta Oceânico
14359,2,Planeta Oceânico
7359,0,Planeta Deserto
13508,0,Planeta Deserto
2697,4,Planeta Gelado
3264,0,Planeta Deserto
1033,0,Planeta Deserto
6699,4,Planeta Gelado
3186,4,Planeta Gelado
12206,0,Planeta Deserto
10687,0,Planeta Deserto
12255,4,Planeta Gelado
13723,0,Planeta Deserto
5567,0,Planeta Deserto
9796,0,Planeta Deserto
1639,0,Planeta Deserto
4919,4,Planeta Gelado
12304,0,Planeta Deserto
9721,2,Planeta Oceânico
3334,0,Planeta Deserto
9078,0,Planeta Deserto
12091,0,Planeta Deserto
7275,0,Planeta Deserto
14463,0,Planeta Deserto
6459,0,Planeta Deserto
3443,0,Planeta Deserto
2635,0,Planeta Deserto
13924,2,Planeta Oceânico
6695,0,Planeta Deserto
12915,2,Planeta Oceânico
13651,4,Planeta Gelado
754,2,Planeta Oceânico
8522,0,Planeta Deserto
6578,0,Planeta Deserto
7782,0,Planeta Deserto
6586,4,Planeta Gelado
1586,0,Planeta Deserto
14134,4,Planeta Gelado
6035,0,Planeta Deserto
4884,1,Planeta Vulcânico
2979,4,Planeta Gelado
2514,4,Planeta Gelado
8571,0,Planeta Deserto
14901,2,Planeta Oceânico
809,0,Planeta Deserto
8847,0,Planeta Deserto
744,4,Planeta Gelado
2675,0,Planeta Deserto
5174,0,Planeta Deserto
5917,0,Planeta Deserto
7380,0,Planeta Deserto
7911,1,Planeta Vulcânico
3448,1,Planeta Vulcânico
2762,2,Planeta Oceânico
7698,0,Planeta Deserto
12949,0,Planeta Deserto
3452,4,Planeta Gelado
8477,0,Planeta Deserto
2814,0,Planeta Deserto
7161,0,Planeta Deserto
14751,0,Planeta Deserto
12572,1,Planeta Vulcânico
3718,0,Planeta Deserto
2807,1,Planeta Vulcânico
7469,2,Planeta Oceânico
1351,1,Planeta Vulcânico
4687,0,Planeta Deserto
14152,1,Planeta Vulcânico
3201,1,Planeta Vulcânico
8989,0,Planeta Deserto
9582,0,Planeta Deserto
3597,4,Planeta Gelado
10772,0,Planeta Deserto
4052,0,Planeta Deserto
2874,4,Planeta Gelado
4226,1,Planeta Vulcânico
14486,4,Planeta Gelado
6653,4,Planeta Gelado
1699,0,Planeta Deserto
4515,4,Planeta Gelado
5999,0,Planeta Deserto
9362,0,Planeta Deserto
3165,2,Planeta Oceânico
13014,4,Planeta Gelado
9653,1,Planeta Vulcânico
2776,0,Planeta Deserto
12424,0,Planeta Deserto
4289,0,Planeta Deserto
4530,0,Planeta Deserto
9455,0,Planeta Deserto
14151,0,Planeta Deserto
14947,0,Planeta Deserto
14744,1,Planeta Vulcânico
2198,0,Planeta Deserto
4716,0,Planeta Deserto
3237,0,Planeta Deserto
12427,0,Planeta Deserto
12284,4,Planeta Gelado
11351,0,Planeta Deserto
6566,2,Planeta Oceânico
3639,4,Planeta Gelado
8431,0,Planeta Deserto
6277,0,Planeta Deserto
5107,0,Planeta Deserto
7176,0,Planeta Deserto
13672,0,Planeta Deserto
7118,0,Planeta Deserto
6377,1,Planeta Vulcânico
5958,4,Planeta Gelado
11211,0,Planeta Deserto
7719,0,Planeta Deserto
3271,0,Planeta Deserto
13263,0,Planeta Deserto
1640,0,Planeta Deserto
6187,0,Planeta Deserto
1445,0,Planeta Deserto
4281,0,Planeta Deserto
4988,3,Planeta Florestal
6444,0,Planeta Deserto
13047,4,Planeta Gelado
3513,0,Planeta Deserto
4383,4,Planeta Gelado
2907,1,Planeta Vulcânico
4903,0,Planeta Deserto
6500,0,Planeta Deserto
6493,1,Planeta Vulcânico
3706,0,Planeta Deserto
11824,1,Planeta Vulcânico
7362,0,Planeta Deserto
12987,2,Planeta Oceânico
1037,0,Planeta Deserto
12124,0,Planeta Deserto
8365,4,Planeta Gelado
546,0,Planeta Deserto
4250,4,Planeta Gelado
7367,0,Planeta Deserto
4249,0,Planeta Deserto
2875,1,Planeta Vulcânico
11345,1,Planeta Vulcânico
10525,0,Planeta Deserto
14769,0,Planeta Deserto
13441,4,Planeta Gelado
1092,0,Planeta Deserto
14456,0,Planeta Deserto
4343,0,Planeta Deserto
11969,1,Planeta Vulcânico
10047,0,Planeta Deserto
2507,3,Planeta Florestal
9568,0,Planeta Deserto
2486,4,Planeta Gelado
10656,0,Planeta Deserto
13478,0,Planeta Deserto
6515,2,Planeta Oceânico
1739,0,Planeta Deserto
14261,1,Planeta Vulcânico
1375,0,Planeta Deserto
5908,1,Planeta Vulcânico
8864,4,Planeta Gelado
12602,0,Planeta Deserto
13796,0,Planeta Deserto
5831,4,Planeta Gelado
4421,0,Planeta Deserto
1135,0,Planeta Deserto
4449,0,Planeta Deserto
1228,0,Planeta Deserto
14289,0,Planeta Deserto
13224,0,Planeta Deserto
5562,0,Planeta Deserto
1426,4,Planeta Gelado
9376,0,Planeta Deserto
4815,0,Planeta Deserto
3126,1,Planeta Vulcânico
4247,0,Planeta Deserto
9413,0,Planeta Deserto
1480,0,Planeta Deserto
11434,4,Planeta Gelado
10398,0,Planeta Deserto
13761,0,Planeta Deserto
8276,2,Planeta Oceânico
7758,2,Planeta Oceânico
11901,0,Planeta Deserto
2618,3,Planeta Florestal
3123,4,Planeta Gelado
10431,4,Planeta Gelado
4119,1,Planeta Vulcânico
7462,3,Planeta Florestal
